sa1,pop
1106206,402
1106207,258
1106208,215
1106209,328
1106210,348
1106211,399
1106212,183
1106213,286
1106214,189
1106215,231
1106216,121
1106217,267
1106218,202
1106219,315
1106220,206
1106221,156
1106222,333
1106223,0
1106224,36
1106225,0
1106301,0
1106302,0
1106303,475
1106304,685
1106305,251
1106306,277
1106307,5
1106308,380
1106309,459
1106310,404
1106311,406
1106312,328
1106313,229
1106314,195
1106315,427
1106316,412
1106317,406
1106318,304
1106319,311
1106320,225
1106321,295
1106322,270
1106323,451
1106324,303
1106325,511
1106326,210
1106327,208
1106328,490
1106329,218
1106401,169
1106402,249
1106403,290
1106404,373
1106405,326
1106406,316
1106407,437
1106408,473
1106409,255
1106410,285
1106411,283
1106412,286
1106413,317
1106414,353
1106415,241
1106416,192
1106417,331
1106418,285
1106501,317
1106502,322
1106503,315
1106504,382
1106505,365
1106506,436
1106507,421
1106508,470
1106509,492
1106510,313
1106511,517
1106512,354
1106513,331
1106514,327
1106515,513
1106516,203
1106517,210
1106518,348
1106519,259
1106520,279
1106521,322
1106522,230
1106523,345
1106524,204
1106525,211
1106526,464
1106527,372
1106528,429
1106529,388
1106601,203
1106602,166
1106603,288
1106604,358
1106605,365
1106606,195
1106607,359
1106608,173
1106609,316
1106610,320
1106611,309
1106612,369
1106613,234
1106701,365
1106702,416
1106703,336
1106704,168
1106705,317
1106706,327
1106707,376
1106708,406
1106709,362
1106710,518
1106711,308
1106712,545
1106713,351
1106714,488
1106715,627
1106716,386
1106717,282
1106718,362
1106719,395
1106720,339
1106721,224
1106722,330
1106723,414
1106724,435
1106725,287
1106726,395
1106727,460
1106728,173
1106729,588
1106801,229
1106802,250
1106803,268
1106804,212
1106805,412
1106806,275
1106807,322
1106808,377
1106809,416
1106810,323
1106811,305
1106901,245
1106902,510
1106903,272
1106904,390
1106905,143
1106906,336
1106907,270
1106908,225
1106909,203
1106910,299
1106911,227
1106912,292
1106913,321
1106914,436
1106915,398
1106916,362
1106917,275
1106918,314
1106919,399
1107001,416
1107002,100
1107003,416
1107004,135
1107005,621
1107006,538
1107007,231
1107008,347
1107009,0
1107010,464
1107011,502
1107012,401
1107013,327
1107014,447
1107015,645
1107016,350
1107017,301
1107018,525
1107019,494
1107020,414
1107021,645
1107022,411
1107023,458
1107024,264
1107025,299
1107026,265
1107027,574
1107028,493
1107029,393
1107030,334
1107031,411
1107032,589
1107101,219
1107102,250
1107103,348
1107104,195
1107105,317
1107106,514
1107107,610
1107108,366
1107109,259
1107110,348
1107111,200
1107112,306
1107113,328
1107114,261
1107115,315
1107116,297
1107117,306
1107118,8
1107119,247
1107120,263
1107121,220
1107122,423
1107123,212
1107124,508
1107125,211
1107126,91
1107127,245
1107128,395
1107201,357
1107202,377
1107203,249
1107204,426
1107205,462
1107206,341
1107207,197
1107208,539
1107209,335
1107210,460
1107211,767
1107212,286
1107214,322
1107215,433
1107216,398
1107217,717
1107218,419
1107219,574
1107220,524
1107221,336
1107222,228
1107224,499
1107225,662
1107226,643
1107227,561
1107228,609
1107301,3
1107302,295
1107303,411
1107304,230
1107305,214
1107306,235
1107307,374
1107308,278
1107309,170
1107310,337
1107311,234
1107312,225
1107313,142
1107314,310
1107401,261
1107402,306
1107403,478
1107404,469
1107405,433
1107406,216
1107407,352
1107408,251
1107409,654
1107410,222
1107411,389
1107412,481
1107413,518
1107414,479
1107415,534
1107416,395
1107417,306
1107418,377
1107419,321
1107420,413
1107421,431
1107422,459
1107423,326
1107425,479
1107426,322
1107427,487
1107501,0
1107601,253
1107602,201
1107603,527
1107604,343
1107605,364
1107606,471
1107607,279
1107608,421
1107609,382
1107610,363
1107611,197
1107612,264
1107613,340
1107614,443
1107615,519
1107616,413
1107617,492
1107618,250
1107619,254
1107620,216
1107621,280
1107701,357
1107702,513
1107703,343
1107704,281
1107705,177
1107706,239
1107707,428
1107708,502
1107709,356
1107710,207
1107711,454
1107712,210
1107713,525
1107714,313
1107715,396
1107716,572
1107717,419
1107718,465
1107719,393
1107720,577
1107721,296
1107722,238
1107723,445
1107724,245
1107725,214
1107726,451
1107727,366
1107728,359
1107729,394
1107730,421
1107731,509
1107732,231
1107733,431
1107734,232
1107735,4
1107736,130
1107737,208
1107738,208
1107739,234
1107740,585
1107741,231
1107742,326
1107743,226
1107744,318
1107745,301
1107746,530
1107747,386
1107748,369
1107749,257
